classification	n_associations	n_genes	n_diseases	pct_associations
Definitive	2152	1957	1495	62.521789657176065
Strong	81	80	63	2.3532829750145265
Moderate	415	396	267	12.056943637420105
Limited	504	475	238	14.642649622312609
Disputed	192	177	66	5.57815223707147
Refuted	45	43	14	1.3073794305636257
No Known Disease Relationship	53	52	21	1.5398024404416037
