category	n_genes	sample_genes
Hereditary Syndromes	799	A2ML1, ABCB4, ABCC8, ABCC9, ABHD12, ACD, ACOX1, ACTA2, ACTB, ACTG1...
Developmental	574	A4GALT, AARS1, ABAT, ABCD3, ACOX2, ACSL4, ACVR1, ADAM17, ADAMTS13, ADAMTS19...
Neurological	206	AARS1, ABAT, ADRA2B, AIFM1, ALDH7A1, ALG13, AMT, ANO10, ARX, ASNS...
Cardiovascular	190	ABCC9, ACTC1, ACTN2, ACVR1, ADAM17, ADAMTS19, ALPK3, ANKRD1, ATE1, BAG3...
Hearing	133	ABCC1, ACTG1, ADCY1, ADGRV1, AFG2B, AIFM1, AP1B1, ATP11A, ATP2B2, ATP6V1B1...
Immunological	123	ADA, AIRE, ANKZF1, ARHGEF1, ARPC1B, BACH2, BCL10, CARD11, CARMIL2, CASP10...
Eye/Vision	98	ABCA4, ACO2, ADAM9, ADAMTS18, AFG3L2, AGBL5, AIPL1, ARHGEF18, ATF6, B3GALNT2...
Cancer/Tumor	74	APC, ATM, ATRIP, AXIN2, BAP1, BARD1, BLM, BRCA1, BRCA2, BRIP1...
Kidney/Renal	58	ACE, ALG5, ALG6, ALG8, ALG9, APOA4, ARHGDIA, ATP6V1B1, AVIL, CCNQ...
Metabolic	33	ABCC8, APOB, APPL1, ASAH1, BLK, CEL, FLAD1, GATA6, GCK, GNPTAB...
