gene_set_name	beta	standard_error	z_stat	p_value	fit.n_iterations	fit.converged	fit.exploded	odds_ratio	ci_lower	ci_upper	p_adjusted	significant
Astrocytes	0.5111031242343456	0.3788671558196814	1.3490299076692749	0.17732735994668258	4	True	False	1.6671292316252861	0.7933613383455301	3.5032207149588235	0.5235477374099023	False
Inhibitory Neurons	-0.7306324395351779	0.6323540998173822	-1.1554166245560478	0.2479198572807258	4	True	False	0.4816043081491199	0.13945037508354707	1.6632634332380365	0.5235477374099023	False
Microglia	0.2983767494850645	0.26588356158776233	1.1222083370000926	0.2617738687049512	4	True	False	1.3476694260096338	0.8003108764567716	2.2693842295909836	0.5235477374099023	False
Excitatory Neurons	0.539350931008767	0.612529445559789	0.8805306176192975	0.37857192627627245	4	True	False	1.71489341673242	0.5162279836555129	5.696822961683291	0.5678578894144086	False
Oligodendrocytes	-0.2876820607061955	0.7601169498121969	-0.3784707876561278	0.7050808907776571	3	True	False	0.7500000088091892	0.16905836268604713	3.3272534069100423	0.8460970689331886	False
Endothelial	0.0	0.39324187881980727	0.0	1.0	1	True	False	1.0	0.46266404987612836	2.161395509912075	1.0	False
